,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 30,Trp Dbl,Player
2,2015-16,22,OKC,NBA,C,80,80,2014,261,426,0.613,0,0,,261,426,0.613,0.613,114,196,0.582,219,314,533,62,42,89,84,223,636,,0.0,"
Steven Adams
"
3,2016-17,23,OKC,NBA,C,80,80,2389,374,655,0.571,0,1,0.0,374,654,0.572,0.571,157,257,0.611,281,332,613,86,89,78,146,195,905,,0.0,"
Steven Adams
"
4,2017-18,24,OKC,NBA,C,76,76,2487,448,712,0.629,0,2,0.0,448,710,0.631,0.629,160,286,0.559,384,301,685,88,92,78,128,215,1056,,0.0,"
Steven Adams
"
5,2018-19,25,OKC,NBA,C,80,80,2669,481,809,0.595,0,2,0.0,481,807,0.596,0.595,146,292,0.5,391,369,760,124,117,76,135,204,1108,,0.0,"
Steven Adams
"
6,2019-20,26,OKC,NBA,C,63,63,1680,283,478,0.592,1,3,0.333,282,475,0.594,0.593,117,201,0.582,207,376,583,146,51,67,94,122,684,,0.0,"
Steven Adams
"
7,2020-21,27,NOP,NBA,C,58,58,1605,189,308,0.614,0,3,0.0,189,305,0.62,0.614,60,135,0.444,213,301,514,111,54,38,78,113,438,,1.0,"
Steven Adams
"
8,2021-22,28,MEM,NBA,C,76,75,1999,210,384,0.547,0,1,0.0,210,383,0.548,0.547,108,199,0.543,349,411,760,256,65,60,115,153,528,,0.0,"
Steven Adams
"
0,2017-18,19,PHI,NBA,SG,14,0,253,45,111,0.405,0,1,0.0,45,110,0.409,0.405,10,21,0.476,11,32,43,53,12,4,17,22,100,,1.0,"
Markelle Fultz
"
1,2018-19,20,PHI,NBA,SG,19,15,427,65,155,0.419,4,14,0.286,61,141,0.433,0.432,21,37,0.568,26,44,70,59,17,5,25,52,155,,0.0,"
Markelle Fultz
"
2,2019-20,21,ORL,NBA,PG,72,60,1996,359,772,0.465,36,135,0.267,323,637,0.507,0.488,116,159,0.73,41,197,238,369,90,11,147,142,870,,1.0,"
Markelle Fultz
"
3,2020-21,22,ORL,NBA,PG,8,8,215,41,104,0.394,4,16,0.25,37,88,0.42,0.413,17,19,0.895,5,20,25,43,8,2,18,18,103,,0.0,"
Markelle Fultz
"
4,2021-22,23,ORL,NBA,PG,18,3,360,83,175,0.474,4,17,0.235,79,158,0.5,0.486,25,31,0.806,4,45,49,99,20,5,40,22,195,,0.0,"
Markelle Fultz
"
0,2014-15,19,ORL,NBA,PF,47,8,797,93,208,0.447,13,48,0.271,80,160,0.5,0.478,44,61,0.721,46,123,169,33,21,22,38,83,243,,0.0,"
Aaron Gordon
"
1,2015-16,20,ORL,NBA,PF,78,37,1863,274,579,0.473,42,142,0.296,232,437,0.531,0.509,129,193,0.668,154,353,507,128,59,55,66,153,719,,0.0,"
Aaron Gordon
"
2,2016-17,21,ORL,NBA,SF,80,72,2298,393,865,0.454,77,267,0.288,316,598,0.528,0.499,156,217,0.719,116,289,405,150,65,40,89,172,1019,,0.0,"
Aaron Gordon
"
3,2017-18,22,ORL,NBA,PF,58,57,1909,375,865,0.434,115,342,0.336,260,523,0.497,0.5,157,225,0.698,87,370,457,136,59,45,107,111,1022,,0.0,"
Aaron Gordon
"
4,2018-19,23,ORL,NBA,PF,78,78,2633,470,1046,0.449,121,347,0.349,349,699,0.499,0.507,185,253,0.731,129,445,574,289,57,56,162,172,1246,,0.0,"
Aaron Gordon
"
5,2019-20,24,ORL,NBA,PF,62,62,2017,335,767,0.437,73,237,0.308,262,530,0.494,0.484,151,224,0.674,107,368,475,228,51,39,100,125,894,,1.0,"
Aaron Gordon
"
6,2020-21,25,TOT,NBA,PF,50,50,1384,231,499,0.463,59,176,0.335,172,323,0.533,0.522,97,149,0.651,77,207,284,161,33,34,97,89,618,,1.0,"
Aaron Gordon
"
7,2020-21,25,ORL,NBA,PF,25,25,736,128,293,0.437,42,112,0.375,86,181,0.475,0.509,66,105,0.629,39,127,166,105,16,20,67,49,364,,1.0,"
Aaron Gordon
"
8,2020-21,25,DEN,NBA,PF,25,25,648,103,206,0.5,17,64,0.266,86,142,0.606,0.541,31,44,0.705,38,80,118,56,17,14,30,40,254,,0.0,"
Aaron Gordon
"
9,2021-22,26,DEN,NBA,PF,75,75,2376,434,834,0.52,87,260,0.335,347,574,0.605,0.573,171,230,0.743,125,314,439,188,44,44,133,148,1126,,0.0,"
Aaron Gordon
"
0,2017-18,20,TOR,NBA,SF,74,62,1481,163,346,0.471,73,197,0.371,90,149,0.604,0.577,39,62,0.629,44,140,184,55,52,14,45,130,438,,,"
OG Anunoby
"
1,2018-19,21,TOR,NBA,SF,67,6,1352,183,404,0.453,67,202,0.332,116,202,0.574,0.536,36,62,0.581,58,139,197,47,46,22,55,140,469,,,"
OG Anunoby
"
2,2019-20,22,TOR,NBA,SF,69,68,2066,286,566,0.505,89,228,0.39,197,338,0.583,0.584,72,102,0.706,80,284,364,108,96,45,79,167,733,,,"
OG Anunoby
"
3,2020-21,23,TOR,NBA,SF,43,43,1433,249,519,0.48,104,261,0.398,145,258,0.562,0.58,80,102,0.784,54,183,237,94,66,32,75,114,682,,,"
OG Anunoby
"
4,2021-22,24,TOR,NBA,SF,48,48,1728,309,697,0.443,115,317,0.363,194,380,0.511,0.526,89,118,0.754,74,190,264,125,71,25,80,131,822,,,"
OG Anunoby
"
0,2016-17,24,SAS,NBA,PF,67,6,808,103,234,0.44,69,173,0.399,34,61,0.557,0.588,28,34,0.824,22,76,98,46,20,28,32,75,303,,,"
Dāvis Bertāns
"
1,2017-18,25,SAS,NBA,PF,77,10,1086,161,366,0.44,94,252,0.373,67,114,0.588,0.568,40,49,0.816,18,135,153,74,26,28,36,93,456,,,"
Dāvis Bertāns
"
2,2018-19,26,SAS,NBA,PF,76,12,1632,204,453,0.45,145,338,0.429,59,115,0.513,0.61,53,60,0.883,23,241,264,100,35,33,43,133,606,,,"
Dāvis Bertāns
"
3,2019-20,27,WAS,NBA,PF,54,4,1583,265,610,0.434,200,472,0.424,65,138,0.471,0.598,104,122,0.852,35,210,245,92,37,33,59,139,834,,,"
Dāvis Bertāns
"
4,2020-21,28,WAS,NBA,PF,57,7,1464,193,478,0.404,169,428,0.395,24,50,0.48,0.581,100,115,0.87,18,150,168,49,33,13,33,136,655,,,"
Dāvis Bertāns
"
5,2021-22,29,TOT,NBA,PF,56,0,807,99,275,0.36,77,230,0.335,22,45,0.489,0.5,36,40,0.9,12,105,117,31,17,12,19,85,311,,,"
Dāvis Bertāns
"
6,2021-22,29,WAS,NBA,PF,34,0,501,60,171,0.351,46,144,0.319,14,27,0.519,0.485,28,30,0.933,6,55,61,16,11,6,14,55,194,,,"
Dāvis Bertāns
"
7,2021-22,29,DAL,NBA,PF,22,0,306,39,104,0.375,31,86,0.36,8,18,0.444,0.524,8,10,0.8,6,50,56,15,6,6,5,30,117,,,"
Dāvis Bertāns
"
0,2018-19,20,POR,NBA,SG,15,1,111,16,50,0.32,5,21,0.238,11,29,0.379,0.37,3,7,0.429,1,10,11,5,1,2,4,4,40,,,"
Gary Trent Jr.
"
1,2019-20,21,POR,NBA,SF,61,8,1332,196,441,0.444,112,268,0.418,84,173,0.486,0.571,37,45,0.822,25,75,100,61,48,16,21,90,541,,,"
Gary Trent Jr.
"
2,2020-21,22,TOT,NBA,SG,58,38,1802,320,785,0.408,165,429,0.385,155,356,0.435,0.513,83,106,0.783,27,125,152,80,56,10,43,92,888,,,"
Gary Trent Jr.
"
3,2020-21,22,POR,NBA,SG,41,23,1262,217,524,0.414,121,305,0.397,96,219,0.438,0.53,58,75,0.773,21,70,91,58,37,6,31,63,613,,,"
Gary Trent Jr.
"
4,2020-21,22,TOR,NBA,SG,17,15,540,103,261,0.395,44,124,0.355,59,137,0.431,0.479,25,31,0.806,6,55,61,22,19,4,12,29,275,,,"
Gary Trent Jr.
"
5,2021-22,23,TOR,NBA,SG,70,69,2448,450,1086,0.414,209,545,0.383,241,541,0.445,0.511,174,204,0.853,26,165,191,141,122,19,73,144,1283,,,"
Gary Trent Jr.
"
0,2017-18,20,CHI,NBA,PF,68,68,2020,374,862,0.434,145,401,0.362,229,461,0.497,0.518,140,166,0.843,79,429,508,79,39,40,83,103,1033,,,"
Lauri Markkanen
"
1,2018-19,21,CHI,NBA,PF,52,51,1682,342,795,0.43,120,332,0.361,222,463,0.479,0.506,170,195,0.872,74,396,470,75,37,33,85,122,974,,,"
Lauri Markkanen
"
2,2019-20,22,CHI,NBA,PF,50,50,1492,251,591,0.425,109,317,0.344,142,274,0.518,0.517,126,153,0.824,60,253,313,74,42,23,81,96,737,,,"
Lauri Markkanen
"
3,2020-21,23,CHI,NBA,PF,51,26,1317,250,521,0.48,119,296,0.402,131,225,0.582,0.594,76,92,0.826,35,233,268,45,26,15,52,75,695,,,"
Lauri Markkanen
"
4,2021-22,24,CLE,NBA,PF,61,61,1878,313,703,0.445,136,380,0.358,177,323,0.548,0.542,138,159,0.868,59,286,345,81,45,30,54,130,900,,,"
Lauri Markkanen
"
0,2011-12,22,HOU,NBA,PF,17,0,126,16,54,0.296,2,17,0.118,14,37,0.378,0.315,6,8,0.75,5,11,16,3,2,2,4,12,40,,,"
Marcus Morris
"
1,2012-13,23,TOT,NBA,"PF,SF",77,23,1524,222,526,0.422,86,233,0.369,136,293,0.464,0.504,66,117,0.564,80,197,277,62,45,20,77,160,596,,,"
Marcus Morris
"
2,2012-13,23,HOU,NBA,PF,54,17,1154,171,400,0.428,74,194,0.381,97,206,0.471,0.52,49,75,0.653,63,156,219,47,27,16,53,120,465,,,"
Marcus Morris
"
3,2012-13,23,PHO,NBA,SF,23,6,370,51,126,0.405,12,39,0.308,39,87,0.448,0.452,17,42,0.405,17,41,58,15,18,4,24,40,131,,,"
Marcus Morris
"
4,2013-14,24,PHO,NBA,SF,82,1,1800,288,651,0.442,99,260,0.381,189,391,0.483,0.518,121,159,0.761,84,235,319,88,72,18,95,157,796,,,"
Marcus Morris
"
5,2014-15,25,PHO,NBA,PF,81,35,2045,331,763,0.434,112,313,0.358,219,450,0.487,0.507,71,113,0.628,73,312,385,133,63,16,73,188,845,,,"
Marcus Morris
"
6,2015-16,26,DET,NBA,SF,80,80,2856,410,945,0.434,108,298,0.362,302,647,0.467,0.491,203,271,0.749,91,313,404,201,67,23,140,170,1131,,,"
Marcus Morris
"
7,2016-17,27,DET,NBA,SF,79,79,2565,421,1007,0.418,118,357,0.331,303,650,0.466,0.477,145,185,0.784,77,289,366,160,52,25,87,168,1105,,,"
Marcus Morris
"
8,2017-18,28,BOS,NBA,PF,54,21,1442,262,611,0.429,86,234,0.368,176,377,0.467,0.499,124,154,0.805,43,246,289,72,35,12,65,100,734,,,"
Marcus Morris
"
9,2018-19,29,BOS,NBA,PF,75,53,2091,377,844,0.447,146,389,0.375,231,455,0.508,0.533,146,173,0.844,76,382,458,109,43,25,92,181,1046,,,"
Marcus Morris
"
10,2019-20,30,TOT,NBA,"PF,SF",62,62,1936,355,810,0.438,142,348,0.408,213,462,0.461,0.526,181,220,0.823,59,252,311,86,47,30,97,180,1033,,,"
Marcus Morris
"
11,2019-20,30,NYK,NBA,SF,43,43,1387,281,636,0.442,116,264,0.439,165,372,0.444,0.533,163,198,0.823,48,185,233,59,34,17,73,128,841,,,"
Marcus Morris
"
12,2019-20,30,LAC,NBA,PF,19,19,549,74,174,0.425,26,84,0.31,48,90,0.533,0.5,18,22,0.818,11,67,78,27,13,13,24,52,192,,,"
Marcus Morris
"
13,2020-21,31,LAC,NBA,PF,57,29,1502,276,584,0.473,140,296,0.473,136,288,0.472,0.592,73,89,0.82,35,199,234,58,34,15,57,117,765,,,"
Marcus Morris
"
14,2021-22,32,LAC,NBA,PF,54,54,1564,300,691,0.434,101,275,0.367,199,416,0.478,0.507,129,148,0.872,26,213,239,113,28,18,69,115,830,,,"
Marcus Morris
"
0,2018-19,24,MIA,NBA,SF,15,1,161,18,46,0.391,10,35,0.286,8,11,0.727,0.5,4,6,0.667,2,17,19,5,5,0,4,11,50,,,"
Duncan Robinson
"
1,2019-20,25,MIA,NBA,SG,73,68,2166,323,687,0.47,270,606,0.446,53,81,0.654,0.667,67,72,0.931,10,222,232,102,35,19,70,193,983,,,"
Duncan Robinson
"
2,2020-21,26,MIA,NBA,SF,72,72,2262,315,717,0.439,250,613,0.408,65,104,0.625,0.614,62,75,0.827,7,243,250,127,43,20,81,181,942,,,"
Duncan Robinson
"
3,2021-22,27,MIA,NBA,SG,79,68,2043,290,726,0.399,232,624,0.372,58,102,0.569,0.559,51,61,0.836,24,179,203,129,42,14,60,201,863,,,"
Duncan Robinson
"
0,2015-16,22,TOR,NBA,SG,49,24,725,97,229,0.424,36,89,0.404,61,140,0.436,0.502,43,53,0.811,16,95,111,47,29,10,32,59,273,,,"
Norman Powell
"
1,2016-17,23,TOR,NBA,SG,76,18,1368,227,506,0.449,56,173,0.324,171,333,0.514,0.504,126,159,0.792,26,143,169,82,52,14,70,127,636,,,"
Norman Powell
"
2,2017-18,24,TOR,NBA,SG,70,18,1062,150,374,0.401,53,186,0.285,97,188,0.516,0.472,32,39,0.821,14,105,119,89,37,16,66,111,385,,,"
Norman Powell
"
3,2018-19,25,TOR,NBA,SG,60,3,1126,193,400,0.483,68,170,0.4,125,230,0.543,0.568,62,75,0.827,16,123,139,91,39,13,65,96,516,,,"
Norman Powell
"
4,2019-20,26,TOR,NBA,SG,52,26,1479,296,598,0.495,109,273,0.399,187,325,0.575,0.586,129,153,0.843,26,164,190,91,60,21,77,108,830,,,"
Norman Powell
"
5,2020-21,27,TOT,NBA,"SF,SG",69,58,2205,438,918,0.477,171,416,0.411,267,502,0.532,0.57,236,271,0.871,42,173,215,129,82,18,119,160,1283,,,"
Norman Powell
"
6,2020-21,27,TOR,NBA,SG,42,31,1277,282,566,0.498,118,269,0.439,164,297,0.552,0.602,141,163,0.865,19,107,126,77,47,8,77,98,823,,,"
Norman Powell
"
7,2020-21,27,POR,NBA,SF,27,27,928,156,352,0.443,53,147,0.361,103,205,0.502,0.518,95,108,0.88,23,66,89,52,35,10,42,62,460,,,"
Norman Powell
"
8,2021-22,28,TOT,NBA,"SF,SG",45,41,1458,279,605,0.461,106,253,0.419,173,352,0.491,0.549,189,233,0.811,20,125,145,96,42,21,69,106,853,,,"
Norman Powell
"
9,2021-22,28,POR,NBA,SF,40,39,1333,247,542,0.456,93,229,0.406,154,313,0.492,0.542,159,198,0.803,17,114,131,82,40,17,62,92,746,,,"
Norman Powell
"
10,2021-22,28,LAC,NBA,SG,5,2,125,32,63,0.508,13,24,0.542,19,39,0.487,0.611,30,35,0.857,3,11,14,14,2,4,7,14,107,,,"
Norman Powell
"
0,2016-17,20,SAS,NBA,PG,38,8,322,50,116,0.431,9,23,0.391,41,93,0.441,0.47,21,30,0.7,6,36,42,48,8,6,38,29,130,,0.0,"
Dejounte Murray
"
1,2017-18,21,SAS,NBA,PG,81,48,1743,270,609,0.443,9,34,0.265,261,575,0.454,0.451,105,148,0.709,110,349,459,231,97,31,134,151,654,,0.0,"
Dejounte Murray
"
2,2019-20,23,SAS,NBA,PG,66,58,1687,294,637,0.462,41,111,0.369,253,526,0.481,0.494,91,114,0.798,69,314,383,271,111,17,125,143,720,,0.0,"
Dejounte Murray
"
3,2020-21,24,SAS,NBA,PG,67,67,2139,441,974,0.453,63,199,0.317,378,775,0.488,0.485,106,134,0.791,58,415,473,363,101,7,117,135,1051,,4.0,"
Dejounte Murray
"
4,2021-22,25,SAS,NBA,PG,68,68,2366,573,1241,0.462,96,294,0.327,477,947,0.504,0.5,196,247,0.794,80,483,563,627,138,23,180,138,1438,,13.0,"
Dejounte Murray
"
0,2012-13,22,POR,NBA,SG,73,5,894,118,309,0.382,9,65,0.138,109,244,0.447,0.396,50,65,0.769,36,109,145,58,34,9,60,56,295,,,"
Will Barton
"
1,2013-14,23,POR,NBA,SG,41,0,387,65,156,0.417,10,33,0.303,55,123,0.447,0.449,26,32,0.813,16,58,74,33,9,7,18,31,166,,,"
Will Barton
"
2,2014-15,24,TOT,NBA,SG,58,0,983,150,353,0.425,23,85,0.271,127,268,0.474,0.458,74,94,0.787,26,136,162,81,48,19,61,70,397,,,"
Will Barton
"
3,2014-15,24,POR,NBA,SG,30,0,300,38,100,0.38,4,18,0.222,34,82,0.415,0.4,10,15,0.667,3,31,34,27,14,4,17,20,90,,,"
Will Barton
"
4,2014-15,24,DEN,NBA,SG,28,0,683,112,253,0.443,19,67,0.284,93,186,0.5,0.48,64,79,0.81,23,105,128,54,34,15,44,50,307,,,"
Will Barton
"
5,2015-16,25,DEN,NBA,SG,82,1,2353,425,983,0.432,112,325,0.345,313,658,0.476,0.489,216,268,0.806,59,417,476,203,71,39,139,147,1178,,,"
Will Barton
"
6,2016-17,26,DEN,NBA,SG,60,19,1705,295,666,0.443,87,235,0.37,208,431,0.483,0.508,143,190,0.753,58,201,259,206,48,28,97,110,820,,,"
Will Barton
"
7,2017-18,27,DEN,NBA,SG,81,40,2683,465,1028,0.452,156,422,0.37,309,606,0.51,0.528,182,226,0.805,70,339,409,331,82,52,149,168,1268,,,"
Will Barton
"
8,2018-19,28,DEN,NBA,SF,43,38,1189,185,460,0.402,67,196,0.342,118,264,0.447,0.475,57,74,0.77,32,167,199,124,18,22,65,82,494,,,"
Will Barton
"
9,2019-20,29,DEN,NBA,SF,58,58,1916,332,738,0.45,108,288,0.375,224,450,0.498,0.523,102,133,0.767,76,289,365,212,61,29,88,121,874,,,"
Will Barton
"
10,2020-21,30,DEN,NBA,SF,56,52,1736,259,608,0.426,98,257,0.381,161,351,0.459,0.507,95,121,0.785,39,187,226,181,50,23,96,95,711,,,"
Will Barton
"
11,2021-22,31,DEN,NBA,SG,71,71,2277,392,896,0.438,157,430,0.365,235,466,0.504,0.525,102,127,0.803,44,296,340,276,55,31,127,114,1043,,,"
Will Barton
"
0,2017-18,23,SAS,NBA,PG,17,0,139,16,33,0.485,8,13,0.615,8,20,0.4,0.606,14,20,0.7,5,21,26,9,4,3,6,8,54,,,"
Derrick White
"
1,2018-19,24,SAS,NBA,PG,67,55,1728,260,543,0.479,48,142,0.338,212,401,0.529,0.523,95,123,0.772,35,212,247,263,67,47,97,145,663,,,"
Derrick White
"
2,2019-20,25,SAS,NBA,SG,68,20,1677,253,552,0.458,79,216,0.366,174,336,0.518,0.53,180,211,0.853,35,188,223,241,44,59,89,152,765,,,"
Derrick White
"
3,2020-21,26,SAS,NBA,SG,36,32,1064,186,453,0.411,84,243,0.346,102,210,0.486,0.503,97,114,0.851,13,94,107,127,26,36,45,91,553,,,"
Derrick White
"
4,2021-22,27,TOT,NBA,SG,75,52,2199,337,800,0.421,115,369,0.312,222,431,0.515,0.493,203,235,0.864,38,223,261,366,64,58,119,172,992,,,"
Derrick White
"
5,2021-22,27,SAS,NBA,SG,49,48,1486,243,570,0.426,81,258,0.314,162,312,0.519,0.497,139,160,0.869,25,148,173,274,49,42,87,116,706,,,"
Derrick White
"
6,2021-22,27,BOS,NBA,SG,26,4,713,94,230,0.409,34,111,0.306,60,119,0.504,0.483,64,75,0.853,13,75,88,92,15,16,32,56,286,,,"
Derrick White
"
0,2016-17,22,ATL,NBA,SF,59,10,981,114,285,0.4,33,102,0.324,81,183,0.443,0.458,74,94,0.787,25,132,157,55,43,27,61,96,335,,,"
Taurean Prince
"
1,2017-18,23,ATL,NBA,SF,82,82,2464,415,975,0.426,176,457,0.385,239,518,0.461,0.516,152,180,0.844,50,339,389,214,85,42,191,168,1158,,,"
Taurean Prince
"
2,2018-19,24,ATL,NBA,SF,55,47,1552,262,594,0.441,123,315,0.39,139,279,0.498,0.545,95,116,0.819,22,177,199,118,53,19,100,141,742,,,"
Taurean Prince
"
3,2019-20,25,BRK,NBA,PF,64,61,1857,278,739,0.376,146,431,0.339,132,308,0.429,0.475,71,89,0.798,50,331,381,116,57,25,127,159,773,,,"
Taurean Prince
"
4,2020-21,26,TOT,NBA,PF,41,10,905,131,327,0.401,62,155,0.4,69,172,0.401,0.495,65,76,0.855,19,123,142,76,28,23,47,75,389,,,"
Taurean Prince
"
5,2020-21,26,BRK,NBA,PF,12,4,218,30,74,0.405,13,37,0.351,17,37,0.459,0.493,24,27,0.889,2,32,34,7,8,8,11,21,97,,,"
Taurean Prince
"
6,2020-21,26,CLE,NBA,PF,29,6,687,101,253,0.399,49,118,0.415,52,135,0.385,0.496,41,49,0.837,17,91,108,69,20,15,36,54,292,,,"
Taurean Prince
"
7,2021-22,27,MIN,NBA,PF,69,8,1177,177,390,0.454,86,229,0.376,91,161,0.565,0.564,62,82,0.756,26,148,174,68,47,23,53,116,502,,,"
Taurean Prince
"
0,2016-17,20,DEN,NBA,SG,22,1,165,33,73,0.452,9,28,0.321,24,45,0.533,0.514,8,10,0.8,5,12,17,11,7,0,8,10,83,,,"
Malik Beasley
"
1,2017-18,21,DEN,NBA,SG,62,0,583,73,178,0.41,28,82,0.341,45,96,0.469,0.489,22,33,0.667,14,57,71,31,15,7,24,36,196,,,"
Malik Beasley
"
2,2018-19,22,DEN,NBA,SG,81,18,1879,349,737,0.474,163,405,0.402,186,332,0.56,0.584,56,66,0.848,35,165,200,97,55,10,55,116,917,,,"
Malik Beasley
"
3,2019-20,23,TOT,NBA,SG,55,14,1209,227,534,0.425,107,276,0.388,120,258,0.465,0.525,54,66,0.818,18,130,148,75,40,8,57,77,615,,,"
Malik Beasley
"
4,2019-20,23,DEN,NBA,SG,41,0,746,117,301,0.389,58,161,0.36,59,140,0.421,0.485,33,38,0.868,9,68,77,48,31,6,36,50,325,,,"
Malik Beasley
"
5,2019-20,23,MIN,NBA,SG,14,14,463,110,233,0.472,49,115,0.426,61,118,0.517,0.577,21,28,0.75,9,62,71,27,9,2,21,27,290,,,"
Malik Beasley
"
6,2020-21,24,MIN,NBA,SG,37,36,1214,264,600,0.44,128,321,0.399,136,279,0.487,0.547,68,80,0.85,28,134,162,88,30,7,60,62,724,,,"
Malik Beasley
"
7,2021-22,25,MIN,NBA,SG,79,18,1976,332,850,0.391,240,637,0.377,92,213,0.432,0.532,49,60,0.817,26,201,227,116,43,12,43,88,953,,,"
Malik Beasley
"
0,2014-15,20,BOS,NBA,PG,67,38,1808,175,477,0.367,91,272,0.335,84,205,0.41,0.462,82,127,0.646,61,161,222,208,99,18,90,176,523,,0.0,"
Marcus Smart
"
1,2015-16,21,BOS,NBA,PG,61,10,1667,184,529,0.348,61,241,0.253,123,288,0.427,0.405,129,166,0.777,76,179,255,185,91,18,80,183,558,,1.0,"
Marcus Smart
"
2,2016-17,22,BOS,NBA,SG,79,24,2399,269,749,0.359,94,332,0.283,175,417,0.42,0.422,203,250,0.812,78,227,305,364,125,34,159,192,835,,0.0,"
Marcus Smart
"
3,2017-18,23,BOS,NBA,SG,54,11,1614,189,515,0.367,75,249,0.301,114,266,0.429,0.44,97,133,0.729,43,146,189,259,71,23,129,133,550,,0.0,"
Marcus Smart
"
4,2018-19,24,BOS,NBA,SG,80,60,2200,239,567,0.422,126,346,0.364,113,221,0.511,0.533,104,129,0.806,57,177,234,321,143,28,123,201,708,,0.0,"
Marcus Smart
"
5,2019-20,25,BOS,NBA,SG,60,40,1919,256,682,0.375,137,395,0.347,119,287,0.415,0.476,127,152,0.836,42,183,225,291,101,29,103,162,776,,0.0,"
Marcus Smart
"
6,2020-21,26,BOS,NBA,PG,48,45,1581,203,510,0.398,93,282,0.33,110,228,0.482,0.489,128,162,0.79,36,131,167,273,72,23,96,126,627,,0.0,"
Marcus Smart
"
7,2021-22,27,BOS,NBA,PG,71,71,2296,300,718,0.418,119,360,0.331,181,358,0.506,0.501,142,179,0.793,42,228,270,417,119,18,159,160,861,,0.0,"
Marcus Smart
"
0,2012-13,24,HOU,NBA,PG,41,0,713,79,189,0.418,36,96,0.375,43,93,0.462,0.513,34,41,0.829,45,64,109,117,37,21,44,83,228,,,"
Patrick Beverley
"
1,2013-14,25,HOU,NBA,PG,56,55,1751,199,481,0.414,92,255,0.361,107,226,0.473,0.509,83,102,0.814,72,124,196,151,77,23,66,174,573,,,"
Patrick Beverley
"
2,2014-15,26,HOU,NBA,PG,56,55,1727,204,532,0.383,115,323,0.356,89,209,0.426,0.492,45,60,0.75,67,170,237,192,59,23,83,182,568,,,"
Patrick Beverley
"
3,2015-16,27,HOU,NBA,PG,71,63,2041,258,594,0.434,124,310,0.4,134,284,0.472,0.539,60,88,0.682,73,177,250,239,94,26,91,234,700,,,"
Patrick Beverley
"
4,2016-17,28,HOU,NBA,SG,67,67,2058,228,543,0.42,110,288,0.382,118,255,0.463,0.521,73,95,0.768,95,298,393,281,99,25,100,222,639,,,"
Patrick Beverley
"
5,2017-18,29,LAC,NBA,SG,11,11,334,48,119,0.403,24,60,0.4,24,59,0.407,0.504,14,17,0.824,16,29,45,32,19,5,25,34,134,,,"
Patrick Beverley
"
6,2018-19,30,LAC,NBA,PG,78,49,2137,194,477,0.407,112,282,0.397,82,195,0.421,0.524,96,123,0.78,76,312,388,300,67,43,85,265,596,,,"
Patrick Beverley
"
7,2019-20,31,LAC,NBA,PG,51,50,1342,147,341,0.431,80,206,0.388,67,135,0.496,0.548,31,47,0.66,57,209,266,183,54,25,66,156,405,,,"
Patrick Beverley
"
8,2020-21,32,LAC,NBA,PG,37,34,832,93,220,0.423,56,141,0.397,37,79,0.468,0.55,36,45,0.8,29,90,119,76,29,28,34,108,278,,,"
Patrick Beverley
"
9,2021-22,33,MIN,NBA,PG,58,54,1476,177,436,0.406,83,242,0.343,94,194,0.485,0.501,96,133,0.722,62,178,240,268,67,52,73,174,533,,,"
Patrick Beverley
"
0,2007-08,19,PHI,NBA,PF,74,22,1554,264,490,0.539,6,19,0.316,258,471,0.548,0.545,76,103,0.738,120,192,312,58,73,8,64,126,610,,,"
Thaddeus Young
"
1,2008-09,20,PHI,NBA,PF,75,71,2580,475,960,0.495,56,164,0.341,419,796,0.526,0.524,139,189,0.735,139,238,377,86,100,23,118,165,1145,,,"
Thaddeus Young
"
2,2009-10,21,PHI,NBA,PF,67,45,2145,382,813,0.47,48,138,0.348,334,675,0.495,0.499,114,165,0.691,130,220,350,97,81,15,126,133,926,,,"
Thaddeus Young
"
3,2010-11,22,PHI,NBA,PF,82,1,2135,458,847,0.541,6,22,0.273,452,825,0.548,0.544,123,174,0.707,153,281,434,82,90,26,99,170,1045,,,"
Thaddeus Young
"
4,2011-12,23,PHI,NBA,PF,63,1,1755,348,687,0.507,1,4,0.25,347,683,0.508,0.507,111,144,0.771,137,188,325,74,64,41,55,127,808,,,"
Thaddeus Young
"
5,2012-13,24,PHI,NBA,PF,76,76,2629,509,958,0.531,1,8,0.125,508,950,0.535,0.532,108,188,0.574,182,389,571,125,133,55,90,191,1127,,,"
Thaddeus Young
"
6,2013-14,25,PHI,NBA,PF,79,78,2718,582,1283,0.454,90,292,0.308,492,991,0.496,0.489,163,229,0.712,166,310,476,182,167,36,165,213,1417,,,"
Thaddeus Young
"
7,2014-15,26,TOT,NBA,PF,76,68,2434,451,968,0.466,38,115,0.33,413,853,0.484,0.486,131,200,0.655,127,284,411,173,124,25,117,171,1071,,,"
Thaddeus Young
"
8,2014-15,26,MIN,NBA,PF,48,48,1605,289,641,0.451,19,65,0.292,270,576,0.469,0.466,88,129,0.682,75,170,245,135,86,17,75,115,685,,,"
Thaddeus Young
"
9,2014-15,26,BRK,NBA,PF,28,20,829,162,327,0.495,19,50,0.38,143,277,0.516,0.524,43,71,0.606,52,114,166,38,38,8,42,56,386,,,"
Thaddeus Young
"
