,Rk,Player,Tm,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,Signed Using,Guaranteed,Link
217,218,Rajon Rondo,MEM,"$2,641,691",,,,,,,"$4,858,309",https://www.basketball-reference.com/players/r/rondora01.html
218,219,Bruce Brown,BRK,"$4,736,102",,,,,,,"$4,736,102",https://www.basketball-reference.com/players/b/brownbr01.html
219,220,Deni Avdija,WAS,"$4,692,840","$4,916,160","$6,263,188",,,,1st Round Pick,"$9,609,000",https://www.basketball-reference.com/players/a/avdijde01.html
220,221,Donte DiVincenzo,SAC,"$4,675,830",,,,,,1st Round Pick,"$4,675,830",https://www.basketball-reference.com/players/d/divindo01.html
221,222,Cam Reddish,NYK,"$4,670,160","$5,954,454",,,,,1st Round Pick,"$10,624,614",https://www.basketball-reference.com/players/r/reddica01.html
222,223,David Nwaba,HOU,"$4,650,000","$5,022,000","$5,394,000",,,,Early Bird,"$9,672,000",https://www.basketball-reference.com/players/n/nwabada01.html
223,224,Furkan Korkmaz,PHI,"$4,629,630","$5,000,000","$5,370,370",,,,Bird,"$15,000,000",https://www.basketball-reference.com/players/k/korkmfu01.html
224,225,Davion Mitchell,SAC,"$4,603,320","$4,833,600","$5,063,760","$6,451,230",,,1st Round Pick,"$9,436,920",https://www.basketball-reference.com/players/m/mitchda01.html
225,226,Ish Smith,WAS,"$4,500,000","$4,725,000",,,,,Room Exception,"$4,500,000",https://www.basketball-reference.com/players/s/smithis01.html
226,227,Jeff Green,DEN,"$4,500,000","$4,500,000",,,,,MLE,"$4,500,000",https://www.basketball-reference.com/players/g/greenje02.html
227,228,Jalen Smith,IND,"$4,458,000","$4,670,160","$5,954,454",,,,1st Round Pick,"$4,458,000",https://www.basketball-reference.com/players/s/smithja04.html
228,229,Lonnie Walker IV,SAS,"$4,447,896",,,,,,1st Round Pick,"$4,447,896",https://www.basketball-reference.com/players/w/walkelo01.html
229,230,Cameron Johnson,PHO,"$4,437,000","$5,887,899",,,,,1st Round Pick,"$10,324,899",https://www.basketball-reference.com/players/j/johnsca02.html
230,231,Ziaire Williams,MEM,"$4,373,160","$4,591,920","$4,810,200","$6,133,005",,,1st Round Pick,"$8,965,080",https://www.basketball-reference.com/players/w/willizi02.html
231,232,Maurice Harkless,SAC,"$4,347,600","$4,564,980",,,,,Non Bird,"$8,912,580",https://www.basketball-reference.com/players/h/harklma01.html
232,233,Bobby Portis,MIL,"$4,347,600","$4,564,980",,,,,Non Bird,"$4,347,600",https://www.basketball-reference.com/players/p/portibo01.html
233,234,Jarred Vanderbilt,MIN,"$4,259,259","$4,600,000","$4,940,741",,,,Bird,"$13,800,000",https://www.basketball-reference.com/players/v/vandeja01.html
234,235,Kevin Huerter,ATL,"$4,253,357","$14,508,929","$15,669,643","$16,830,357","$17,991,071",,1st Round Pick,"$69,253,357",https://www.basketball-reference.com/players/h/huertke01.html
235,236,Devin Vassell,SAS,"$4,235,160","$4,437,000","$5,887,899",,,,1st Round Pick,"$8,672,160",https://www.basketball-reference.com/players/v/vassede01.html
236,237,P.J. Washington,CHO,"$4,215,120","$5,808,435",,,,,1st Round Pick,"$10,023,555",https://www.basketball-reference.com/players/w/washipj01.html
237,238,James Bouknight,CHO,"$4,154,400","$4,362,240","$4,570,080","$6,064,496",,,1st Round Pick,"$8,516,640",https://www.basketball-reference.com/players/b/bouknja01.html
238,239,Josh Okogie,MIN,"$4,087,904",,,,,,1st Round Pick,"$4,087,904",https://www.basketball-reference.com/players/o/okogijo01.html
239,240,Grayson Allen,MIL,"$4,054,695","$9,615,385","$10,384,615",,,,1st Round Pick,"$24,054,695",https://www.basketball-reference.com/players/a/allengr01.html
240,241,Tyrese Haliburton,IND,"$4,023,600","$4,215,120","$5,808,435",,,,1st Round Pick,"$8,238,720",https://www.basketball-reference.com/players/h/halibty01.html
241,242,Tyler Herro,MIA,"$4,004,280","$5,722,116",,,,,1st Round Pick,"$9,726,396",https://www.basketball-reference.com/players/h/herroty01.html
